sigs	drug	P	OR	X2.5..	X97.5..	r2	FDR	DRUG_NAME	PUTATIVE_TARGET	PATHWAY_NAME
EPP2	201	0.842207011553779	0.976050611652752	0.768189638555785	1.24015574890956	0.0530451098870321	0.97011631765142	Epothilone B	Microtubule stabiliser	Mitosis
EPP1	202	0.570140783672453	1.05418975334154	0.876506140379625	1.26789304130714	0.19822591383188	0.943967525706146	GSK1904529A	IGF1R, IR	RTK signaling
Tobacco	202	0.130302948842665	0.943771650309101	0.875506319641878	1.01735979277854	0.115814708791847	0.511259456263229	GSK1904529A	IGF1R, IR	RTK signaling
APOBEC	202	0.984032925061755	1.00098917012688	0.908278064123206	1.10316362168071	0.0987080928844507	0.994324736052558	GSK1904529A	IGF1R, IR	RTK signaling
NpCpG	202	0.545660974341196	0.969833759930049	0.877852405884886	1.07145291804713	0.111817040979835	0.759180486039924	GSK1904529A	IGF1R, IR	RTK signaling
MMR	202	0.0408848696076563	0.925885319336543	0.86002227825733	0.99679234624016	0.106941702852662	0.105542727306401	GSK1904529A	IGF1R, IR	RTK signaling
EPP2	202	0.505968152446536	1.03197032828581	0.940310165309531	1.13256539996221	0.0997908908706175	0.97011631765142	GSK1904529A	IGF1R, IR	RTK signaling
EPP1	203	0.562890242134034	0.950799040935416	0.799794312200759	1.13031413508825	-0.0630280562157985	0.943967525706146	BMS-345541	IKK1, IKK2	Other, kinases
Tobacco	203	0.0705489100834963	0.91179723359067	0.82492347497595	1.00781978014123	0.00510706176683184	0.40313662904855	BMS-345541	IKK1, IKK2	Other, kinases
APOBEC	203	0.180334315703031	0.917730963470369	0.809227305062069	1.04078312242275	0.00509593087434246	0.892949074100238	BMS-345541	IKK1, IKK2	Other, kinases
NpCpG	203	0.0693155691310834	0.883486657662263	0.772898516282199	1.00989801095988	0.0238195668026651	0.27455738277527	BMS-345541	IKK1, IKK2	Other, kinases
MMR	203	0.000995974189962866	0.855818882751407	0.780434085342083	0.938485355560587	0.043682176353533	0.013857032208179	BMS-345541	IKK1, IKK2	Other, kinases
EPP2	203	0.249255353309694	0.936279958997769	0.836887752262052	1.0474763900552	0.0324112100644426	0.97011631765142	BMS-345541	IKK1, IKK2	Other, kinases
EPP1	204	0.249387392046675	0.768779822529634	0.489359202465197	1.20774762700151	0.0613143680798431	0.848978355903574	Tipifarnib	Farnesyl-transferase (FNTA)	Other
Tobacco	204	0.1512286565748	0.880559441991779	0.739932231285329	1.04791344138903	0.0204927854082732	0.544062036803433	Tipifarnib	Farnesyl-transferase (FNTA)	Other
APOBEC	204	0.573913138002006	0.938150978873574	0.750392909531664	1.17288856008881	0.0289366690542014	0.978801314786528	Tipifarnib	Farnesyl-transferase (FNTA)	Other
NpCpG	204	0.131748673384872	0.837529040002312	0.664870428984928	1.05502495263343	0.0333696144370843	0.357991090722604	Tipifarnib	Farnesyl-transferase (FNTA)	Other
MMR	204	0.0678785334942409	0.853704736852425	0.720336953406693	1.01176508337868	0.0294322313203143	0.148774867932583	Tipifarnib	Farnesyl-transferase (FNTA)	Other
EPP2	204	0.887555663370123	1.01572031571864	0.817626278415113	1.26180846555396	0.0249911996458027	0.976371536024146	Tipifarnib	Farnesyl-transferase (FNTA)	Other
EPP1	205	0.630898700986215	1.0260932442935	0.922558462119448	1.14124729132715	-0.0300026212493423	0.958438705915216	Avagacestat	Amyloid beta20, Amyloid beta40	Other
Tobacco	205	0.0443254359673075	0.942516476710945	0.889681847740909	0.998488741933187	0.0156780848676843	0.331400677794562	Avagacestat	Amyloid beta20, Amyloid beta40	Other
APOBEC	205	0.489835509546656	0.975209250755386	0.907951001603434	1.04744978647456	-0.00361672747327946	0.978801314786528	Avagacestat	Amyloid beta20, Amyloid beta40	Other
NpCpG	205	0.0701832180521474	0.931082509481738	0.861798994132482	1.00593600754371	0.00464595212194563	0.27455738277527	Avagacestat	Amyloid beta20, Amyloid beta40	Other
MMR	205	0.00569684969327589	0.927233936873611	0.879018003036535	0.978094613216244	0.0233141418831588	0.033627977018578	Avagacestat	Amyloid beta20, Amyloid beta40	Other
EPP2	205	0.78482439763367	0.990981781937757	0.928409645250356	1.05777110045826	-0.00870069388523032	0.97011631765142	Avagacestat	Amyloid beta20, Amyloid beta40	Other
EPP1	206	0.269010635178832	0.952036432532056	0.871900594755408	1.03953750498659	0.114839174799462	0.868329326102119	Ruxolitinib	JAK1, JAK2	Other, kinases
Tobacco	206	0.222743771183747	0.962700690438094	0.905524919683996	1.02348659790987	0.0334606721039332	0.61036778650261	Ruxolitinib	JAK1, JAK2	Other, kinases
APOBEC	206	0.367899492094751	0.964757499653832	0.892091614130175	1.04334243075005	0.037224874066254	0.965901097952808	Ruxolitinib	JAK1, JAK2	Other, kinases
NpCpG	206	0.419051559343099	0.967246451335828	0.892016290898988	1.04882131320592	0.0316649400005835	0.647809173863728	Ruxolitinib	JAK1, JAK2	Other, kinases
MMR	206	0.00476609160369718	0.923001172980041	0.873201575296314	0.975640893723121	0.0477541769083089	0.0311254961874101	Ruxolitinib	JAK1, JAK2	Other, kinases
EPP2	206	0.350490803514553	0.969334076087945	0.907844454653629	1.03498847875186	0.0455355169219263	0.97011631765142	Ruxolitinib	JAK1, JAK2	Other, kinases
EPP1	207	0.306328960404475	0.855720276504407	0.632855717982981	1.15706814493927	0.0951593326795096	0.884430219561193	AS601245	JNK1, JNK2, JNK2	JNK and p38 signaling
Tobacco	207	0.474461888319398	0.954736612902246	0.840589611382347	1.08438408906465	-0.00233562309877278	0.788067012099753	AS601245	JNK1, JNK2, JNK2	JNK and p38 signaling
APOBEC	207	0.350443078685455	1.0806269803607	0.91786485821212	1.27225120368822	0.0177428297295963	0.965901097952808	AS601245	JNK1, JNK2, JNK2	JNK and p38 signaling
NpCpG	207	0.183935793987128	0.892559986760709	0.754562283366462	1.05579532336547	0.00848753229276	0.405262015898948	AS601245	JNK1, JNK2, JNK2	JNK and p38 signaling
MMR	207	0.041168690081726	0.87926646677535	0.777135429320536	0.994819551942898	0.0134509997361208	0.105542727306401	AS601245	JNK1, JNK2, JNK2	JNK and p38 signaling
EPP2	207	0.889609556016857	1.01103891948709	0.865386634425822	1.18120578254118	-0.00575659547157503	0.976371536024146	AS601245	JNK1, JNK2, JNK2	JNK and p38 signaling
EPP1	208	0.344149503287579	0.858007172017769	0.622758004477366	1.1821225932724	-0.0686448466243637	0.892478477802024	Ispinesib Mesylate	KSP	Mitosis
Tobacco	208	0.247827698976927	0.905449469262632	0.764803952791823	1.07195934120798	-0.00624963655007349	0.64363140240707	Ispinesib Mesylate	KSP	Mitosis
APOBEC	208	0.595710799444178	0.944368519416775	0.763875982980566	1.16750875840551	-0.0185295624728092	0.987707024985165	Ispinesib Mesylate	KSP	Mitosis
NpCpG	208	0.0243907794740092	0.772013817921046	0.61640593504258	0.966903952701005	0.00818595580370896	0.180732622350413	Ispinesib Mesylate	KSP	Mitosis
MMR	208	0.000445466140262873	0.753886028767541	0.644573911945189	0.881736188571068	0.0277817044144342	0.0109653203757015	Ispinesib Mesylate	KSP	Mitosis
EPP2	208	0.286013594501081	0.901918416062397	0.745816656479218	1.0906927623105	-0.00464683538852162	0.97011631765142	Ispinesib Mesylate	KSP	Mitosis
EPP1	211	0.562310269419084	1.05884292660766	0.870637072619417	1.28773329150109	0.0618098531135568	0.943967525706146	TL-2-105	not defined	Other
Tobacco	211	0.269573758319235	0.944145164457108	0.852367626725864	1.04580472511825	0.0478663049900314	0.654729881856381	TL-2-105	not defined	Other
APOBEC	211	0.98811020645223	0.999038608847078	0.879942044253291	1.13425440741846	0.0391569693938397	0.994324736052558	TL-2-105	not defined	Other
NpCpG	211	0.446911324378653	0.948151172843643	0.826312650424468	1.08795459697122	0.0497329750758341	0.66517034326125	TL-2-105	not defined	Other
MMR	211	0.00985196953467428	0.883124693507993	0.803750096516419	0.970337954127579	0.0749957475012409	0.043786531265219	TL-2-105	not defined	Other
EPP2	211	0.788667632869185	1.0153773726816	0.907867490462747	1.13561860049453	0.0571119219215114	0.97011631765142	TL-2-105	not defined	Other
EPP1	219	0.481220845020055	0.891682779511102	0.645724772405971	1.23132674051533	-0.016889321477437	0.943967525706146	AT-7519	CDK1, CDK2, CDK4, CDK6, CDK9	Cell cycle
Tobacco	219	0.852589359304349	0.983895374528193	0.82856937864857	1.1683392277867	0.0377980663954588	0.973046877085668	AT-7519	CDK1, CDK2, CDK4, CDK6, CDK9	Cell cycle
APOBEC	219	0.879799329588729	0.98383863007248	0.795966539389351	1.2160541959031	0.0468867312228318	0.994324736052558	AT-7519	CDK1, CDK2, CDK4, CDK6, CDK9	Cell cycle
NpCpG	219	0.31239731651523	0.891018152563182	0.711944962351338	1.11513303721548	0.0717442767973558	0.540362925864182	AT-7519	CDK1, CDK2, CDK4, CDK6, CDK9	Cell cycle
MMR	219	0.0251605510399002	0.832631551825557	0.70938340202801	0.977292813890874	0.0656281288747494	0.0781687022598842	AT-7519	CDK1, CDK2, CDK4, CDK6, CDK9	Cell cycle
EPP2	219	0.0575735353216332	0.833771533028293	0.691100558102503	1.00589554029161	0.0673307808794283	0.97011631765142	AT-7519	CDK1, CDK2, CDK4, CDK6, CDK9	Cell cycle
EPP1	221	0.555994034817394	0.939533615123831	0.761512979636031	1.15917054279174	-0.0318350446312847	0.943967525706146	TAK-715	p38alpha, p38beta	JNK and p38 signaling
Tobacco	221	0.106581538955201	0.915520474677127	0.822362701944142	1.01923121947469	0.0325180851027295	0.460893141427894	TAK-715	p38alpha, p38beta	JNK and p38 signaling
APOBEC	221	0.733631718005977	0.976974505982578	0.853930785861029	1.11774771579114	0.0344312985028911	0.994324736052558	TAK-715	p38alpha, p38beta	JNK and p38 signaling
NpCpG	221	0.180626993372522	0.905946563127646	0.783800907550491	1.04712710502944	0.0471627945584921	0.405262015898948	TAK-715	p38alpha, p38beta	JNK and p38 signaling
MMR	221	0.00127914578451321	0.849584313462967	0.769733041551766	0.937719269822717	0.0724685369217808	0.0154712353547397	TAK-715	p38alpha, p38beta	JNK and p38 signaling
EPP2	221	0.710660895740579	0.977318241919411	0.865445331376963	1.1036525489932	0.0523194249488022	0.97011631765142	TAK-715	p38alpha, p38beta	JNK and p38 signaling
EPP1	222	0.248435295624824	1.14801469907884	0.906319406046085	1.45416476852318	0.0784421218211677	0.848978355903574	BX-912	PDK1 (PDPK1)	Metabolism
Tobacco	222	0.193324353947992	1.09811225199299	0.953435114779351	1.26474313698441	0.00489595693578382	0.583454666574624	BX-912	PDK1 (PDPK1)	Metabolism
APOBEC	222	0.246046080318323	1.11111071554841	0.929552500976161	1.32813049387746	0.0383603388797874	0.892949074100238	BX-912	PDK1 (PDPK1)	Metabolism
NpCpG	222	0.766619251972259	1.02905090955764	0.851283978722863	1.24393950894048	0.0170882214517603	0.899686829902464	BX-912	PDK1 (PDPK1)	Metabolism
MMR	222	0.355813276759854	0.939164577453247	0.821768952092582	1.07333101511916	0.0195862679656895	0.468560693675528	BX-912	PDK1 (PDPK1)	Metabolism
EPP2	222	0.639244724144285	1.0390146736894	0.884963850211089	1.21988202329889	0.0324517231825281	0.97011631765142	BX-912	PDK1 (PDPK1)	Metabolism
EPP1	223	0.0574445560621705	0.772711267321263	0.592111156233502	1.00839630592903	0.17358488939687	0.735290317595782	ZSTK474	PI3K (class 1)	PI3K/MTOR signaling
Tobacco	223	0.240419708212547	1.08938490992575	0.944004793349569	1.25715408474042	0.0751496048682607	0.635820715934009	ZSTK474	PI3K (class 1)	PI3K/MTOR signaling
APOBEC	223	0.29890055545562	0.908692402888717	0.758169421317268	1.08909942797882	0.0841566614065978	0.928623084910665	ZSTK474	PI3K (class 1)	PI3K/MTOR signaling
NpCpG	223	0.504160337872685	0.936926658239015	0.773513818582743	1.13486215996415	0.108311123859394	0.710710608454887	ZSTK474	PI3K (class 1)	PI3K/MTOR signaling
MMR	223	0.0630450406373058	0.878882060821605	0.76699827980941	1.00708658307027	0.104171374663681	0.142073331013647	ZSTK474	PI3K (class 1)	PI3K/MTOR signaling
EPP2	223	0.267682430284395	0.91390251641276	0.779145710971354	1.07196612616184	0.111477927609508	0.97011631765142	ZSTK474	PI3K (class 1)	PI3K/MTOR signaling
EPP1	224	0.357714159565744	0.864395601556709	0.631651396047791	1.18289892283251	0.0107316370356052	0.892478477802024	AS605240	PI3Kgamma	PI3K/MTOR signaling
Tobacco	224	0.13525566310604	1.11806564422721	0.965567121332251	1.29464928660414	0.0389132080402251	0.515259668975389	AS605240	PI3Kgamma	PI3K/MTOR signaling
APOBEC	224	0.292318412107472	1.10291883961157	0.918684379795908	1.3240999776663	0.0558372506328889	0.928623084910665	AS605240	PI3Kgamma	PI3K/MTOR signaling
NpCpG	224	0.330194463720774	0.906260355707452	0.743051475785525	1.10531754406213	0.0348129354952353	0.559059409474327	AS605240	PI3Kgamma	PI3K/MTOR signaling
MMR	224	0.528613340735828	0.956063243021991	0.83105353119585	1.09987731276761	0.0287176650591612	0.619620033096941	AS605240	PI3Kgamma	PI3K/MTOR signaling
EPP2	224	0.565656144376838	0.952668874000379	0.807042514526862	1.12457270484843	0.0326019725299725	0.97011631765142	AS605240	PI3Kgamma	PI3K/MTOR signaling
EPP1	225	0.422848787395336	0.890520913557001	0.668604746924393	1.18609313070293	0.0905376752913958	0.923069495044961	Genentech Cpd 10	AURKA, AURKB	Mitosis
Tobacco	225	0.666548492675696	0.965652395767021	0.823304781042813	1.13261160498726	0.0137649504059171	0.869832017732736	Genentech Cpd 10	AURKA, AURKB	Mitosis
APOBEC	225	0.773845040466826	0.97078662776647	0.792507117836311	1.1891712458346	0.00732764130844643	0.994324736052558	Genentech Cpd 10	AURKA, AURKB	Mitosis
NpCpG	225	0.204319193225608	0.87258478301128	0.706732372843128	1.07735860532294	0.031168920327595	0.430145669948649	Genentech Cpd 10	AURKA, AURKB	Mitosis
MMR	225	0.00406043551670073	0.804113345393871	0.693352602549835	0.932567743832833	0.0392823985289534	0.0285637722906481	Genentech Cpd 10	AURKA, AURKB	Mitosis
EPP2	225	0.463214121599351	0.935425730650555	0.782257408449302	1.11858486492025	0.0306955789718759	0.97011631765142	Genentech Cpd 10	AURKA, AURKB	Mitosis
EPP1	226	0.890234174844659	1.01785353656992	0.788943075764227	1.31318196931295	-0.0108620168050646	0.984523882549489	GSK1070916	AURKA, AURKC	Mitosis
Tobacco	226	0.371360920624954	1.07837284087452	0.913539608021436	1.27294752600206	-0.000192788305688252	0.724606674390155	GSK1070916	AURKA, AURKC	Mitosis
APOBEC	226	0.131271159393903	1.17420376082638	0.952866285565522	1.44695482758163	0.00833340623593126	0.892949074100238	GSK1070916	AURKA, AURKC	Mitosis
NpCpG	226	0.92369896152363	1.01081871762467	0.810491420818947	1.26066045075217	0.00475997433933928	0.967752486906131	GSK1070916	AURKA, AURKC	Mitosis
MMR	226	0.187112901191769	0.899747924549891	0.768848453788895	1.05293354463078	0.00985399666835096	0.30705706862239	GSK1070916	AURKA, AURKC	Mitosis
EPP2	226	0.501663661076607	1.06465035680106	0.886379913777012	1.278774896203	0.0227913666182149	0.97011631765142	GSK1070916	AURKA, AURKC	Mitosis
EPP1	228	0.0850318061340853	0.805235291297037	0.628841151486114	1.03110916456068	0.142022280236036	0.800299351850215	AKT inhibitor VIII	AKT1, AKT2, AKT3	PI3K/MTOR signaling
Tobacco	228	0.556983215105656	0.961715804434003	0.843923085917822	1.0959497422591	0.109641619686498	0.821752363305244	AKT inhibitor VIII	AKT1, AKT2, AKT3	PI3K/MTOR signaling
APOBEC	228	0.108252125125678	0.874967798097978	0.743230831011121	1.03005501893256	0.144450464318126	0.892949074100238	AKT inhibitor VIII	AKT1, AKT2, AKT3	PI3K/MTOR signaling
NpCpG	228	0.471472206748175	0.938352119946127	0.788786081773913	1.11627819170847	0.143905946872097	0.678788179141606	AKT inhibitor VIII	AKT1, AKT2, AKT3	PI3K/MTOR signaling
MMR	228	0.0132031395622673	0.858354343656208	0.76084992915498	0.968354140601365	0.143933636071274	0.0538525431279374	AKT inhibitor VIII	AKT1, AKT2, AKT3	PI3K/MTOR signaling
EPP2	228	0.0393183926449321	0.858208367958568	0.742089409968228	0.992497120886879	0.162733814271273	0.97011631765142	AKT inhibitor VIII	AKT1, AKT2, AKT3	PI3K/MTOR signaling
EPP1	229	0.751203511069404	1.04533120692416	0.791992669689217	1.37970637101768	0.0825445240694995	0.984523882549489	Enzastaurin	PKCB	Other, kinases
Tobacco	229	0.918767227082617	1.00845683135188	0.857314515229505	1.18624514414996	0.0278850768582559	0.973046877085668	Enzastaurin	PKCB	Other, kinases
APOBEC	229	0.467294501289848	0.926719067126972	0.754332767019307	1.13850049596839	0.0180532891187409	0.971001561121761	Enzastaurin	PKCB	Other, kinases
NpCpG	229	0.10857306553059	0.837570932814791	0.674382629923063	1.0402478301914	0.0419433052075261	0.329210851432089	Enzastaurin	PKCB	Other, kinases
MMR	229	0.184838068215726	0.903337176375618	0.777117090860264	1.05005804636075	0.0350066249341969	0.304887535201197	Enzastaurin	PKCB	Other, kinases
EPP2	229	0.235839057198431	0.895189102491149	0.745177742246564	1.07539917497127	0.0277441772727668	0.97011631765142	Enzastaurin	PKCB	Other, kinases
EPP1	230	0.683179986015403	0.962984571818488	0.801631130963764	1.15681546005522	0.137128315735378	0.967077552578959	GSK429286A	ROCK1, ROCK2	Cytoskeleton
Tobacco	230	0.104114547662019	0.920597537733036	0.833095986484699	1.01728953233373	0.0661613649440213	0.457633341995524	GSK429286A	ROCK1, ROCK2	Cytoskeleton
APOBEC	230	0.557167676909308	1.03924769393264	0.913538511812499	1.18225532408204	0.0887160335513848	0.978801314786528	GSK429286A	ROCK1, ROCK2	Cytoskeleton
NpCpG	230	0.201988276215768	0.915826988085756	0.799936234112586	1.04850741388992	0.0687222002891867	0.42951459404845	GSK429286A	ROCK1, ROCK2	Cytoskeleton
MMR	230	0.0136406665391188	0.8876332259334	0.807552242653334	0.975655446379783	0.0866226552955395	0.0538890529940496	GSK429286A	ROCK1, ROCK2	Cytoskeleton
EPP2	230	0.932164839045105	1.00484361282436	0.898741341180735	1.12347194901192	0.0681296803580274	0.982788282798181	GSK429286A	ROCK1, ROCK2	Cytoskeleton
EPP1	231	0.122325547194172	0.839916700241988	0.672315606779967	1.04929895458499	-0.0754548063416411	0.830407215421263	FMK	RSK	Other, kinases
Tobacco	231	0.0607364693613879	0.918047828128434	0.83954429281325	1.00389201849867	-0.00390264806455365	0.369916912893634	FMK	RSK	Other, kinases
APOBEC	231	0.791997169548069	1.01469866375966	0.910028789265253	1.13140747895123	-0.0151909285670964	0.994324736052558	FMK	RSK	Other, kinases
NpCpG	231	0.0484084146159165	0.88601322231482	0.785688748954866	0.99914811197301	-0.0139419146779785	0.217614228175638	FMK	RSK	Other, kinases
MMR	231	0.00698983366757144	0.889480105596487	0.817138780914499	0.968225810267501	0.00217546278634395	0.0366679798954567	FMK	RSK	Other, kinases
EPP2	231	0.816078409493382	0.986939949584106	0.883093787259175	1.10299775418894	-0.0278045820651753	0.97011631765142	FMK	RSK	Other, kinases
EPP1	235	0.910608324177294	0.983786795661931	0.736822851670767	1.31352665993485	0.0727462683615147	0.984523882549489	QL-XII-47	BTK, BMX	Other, kinases
Tobacco	235	0.820702940254731	0.980759584152122	0.828628086175875	1.16082157719921	0.0524593876600372	0.95153964087505	QL-XII-47	BTK, BMX	Other, kinases
APOBEC	235	0.455944409121184	0.923846972211167	0.7497216465141	1.13841347923211	0.0512437932857435	0.966239807409131	QL-XII-47	BTK, BMX	Other, kinases
NpCpG	235	0.226583909786339	0.871333504408919	0.696715166426894	1.089716590783	0.0630847930226994	0.467786136333088	QL-XII-47	BTK, BMX	Other, kinases
MMR	235	0.103551366160602	0.878297075585599	0.751143734459815	1.02697488855042	0.0685825312382956	0.20646309327936	QL-XII-47	BTK, BMX	Other, kinases
EPP2	235	0.849048357825324	0.982049029135046	0.814480567094574	1.18409245669959	0.0682423056635582	0.97011631765142	QL-XII-47	BTK, BMX	Other, kinases
EPP1	236	0.857778540700986	0.99023155746916	0.888176177393313	1.10401355312818	0.116857242984946	0.984523882549489	IC-87114	PI3K delta	PI3K/MTOR signaling
Tobacco	236	0.838906096711984	0.993477756404235	0.932544983303111	1.05839189544938	0.15921520963161	0.965647305567752	IC-87114	PI3K delta	PI3K/MTOR signaling
APOBEC	236	0.900517713120514	0.994737041177705	0.915488504398812	1.08084566473149	0.147451579166584	0.994324736052558	IC-87114	PI3K delta	PI3K/MTOR signaling
NpCpG	236	0.441096619428273	0.966876997851944	0.887275053592533	1.05362043617706	0.154684066893233	0.659583729986202	IC-87114	PI3K delta	PI3K/MTOR signaling
MMR	236	0.126942652183272	0.95440703097284	0.898830214510842	1.01342029458379	0.157898097381239	0.23304693298274	IC-87114	PI3K delta	PI3K/MTOR signaling
EPP2	236	0.418150054824413	0.970374605007692	0.902073927934635	1.0438466791738	0.138823920498879	0.97011631765142	IC-87114	PI3K delta	PI3K/MTOR signaling
EPP1	238	0.0077406965854718	0.78686289060834	0.660885705081813	0.936853685676051	0.244719993784711	0.322356768227193	Idelalisib	PI3Kdelta	PI3K/MTOR signaling
Tobacco	238	0.289990433109328	1.05723242282028	0.953447082701291	1.17231508296786	0.0446313941684235	0.682330430845477	Idelalisib	PI3Kdelta	PI3K/MTOR signaling
APOBEC	238	0.656164209104858	0.970820104417594	0.85179862081186	1.10647241274362	0.0280306648505557	0.992082235890569	Idelalisib	PI3Kdelta	PI3K/MTOR signaling
NpCpG	238	0.935739327637568	1.00566091620429	0.876359499889778	1.15403995564384	0.0486387071326329	0.967752486906131	Idelalisib	PI3Kdelta	PI3K/MTOR signaling
MMR	238	0.0924214142096873	0.921047101052926	0.836849690777091	1.01371581026725	0.0536724968290441	0.193299689850326	Idelalisib	PI3Kdelta	PI3K/MTOR signaling
EPP2	238	0.284139850315808	0.938817675999712	0.836182690828093	1.05405031512509	0.0434795104861793	0.97011631765142	Idelalisib	PI3Kdelta	PI3K/MTOR signaling
EPP1	245	0.59144716567831	0.940876091958036	0.751138296378761	1.1785417208602	0.0611160674196207	0.945371332836662	UNC0638	G9a and GLP methyltransferases	Chromatin histone methylation
Tobacco	245	0.607317974121337	0.964079515618834	0.838178347787963	1.10889205726771	0.0533536236047597	0.851379972307704	UNC0638	G9a and GLP methyltransferases	Chromatin histone methylation
APOBEC	245	0.123034439047306	0.871101257292913	0.730803721490685	1.03833269883939	0.0521373368653832	0.892949074100238	UNC0638	G9a and GLP methyltransferases	Chromatin histone methylation
NpCpG	245	0.749113600926565	0.970022555231045	0.804529191370002	1.1695582556236	0.0412569738427264	0.887838341838892	UNC0638	G9a and GLP methyltransferases	Chromatin histone methylation
MMR	245	0.298195186215738	0.932048062316985	0.816086448243056	1.0644872149747	0.0524098962533817	0.416691963270901	UNC0638	G9a and GLP methyltransferases	Chromatin histone methylation
EPP2	245	0.105400259331839	0.879169653851826	0.752160969704081	1.02762481887093	0.0463328663888937	0.97011631765142	UNC0638	G9a and GLP methyltransferases	Chromatin histone methylation
EPP1	249	0.207234436495635	1.12278829695661	0.936564065450611	1.34604092372068	0.0902913490494706	0.830407215421263	Cabozantinib	VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL	RTK signaling
Tobacco	249	0.269439030713615	1.06457735175811	0.952437797445581	1.18992016162721	0.0902791693323172	0.654729881856381	Cabozantinib	VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL	RTK signaling
APOBEC	249	0.731446055350697	1.02505133810438	0.88956157454492	1.18117764505185	0.10254273066784	0.994324736052558	Cabozantinib	VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL	RTK signaling
NpCpG	249	0.803831776263137	0.98108025999641	0.843451172263187	1.14116680159677	0.102556387670785	0.931978871029724	Cabozantinib	VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL	RTK signaling
MMR	249	0.259884404068603	0.942394316503999	0.849803192710927	1.04507379519948	0.120128501350069	0.37292829283387	Cabozantinib	VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL	RTK signaling
EPP2	249	0.472503135545451	1.04754776830722	0.922554089809243	1.18947641011741	0.123364191527708	0.97011631765142	Cabozantinib	VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL	RTK signaling
EPP1	252	0.118166826668954	0.798408692329697	0.601172474537627	1.06035533392958	0.0305516868879316	0.830407215421263	WZ3105	SRC, ROCK2, NTRK2, FLT3, IRAK1, others	Other
Tobacco	252	0.72635712917442	1.03031114542789	0.871187768067586	1.21849857780669	0.106528934830475	0.90090806719308	WZ3105	SRC, ROCK2, NTRK2, FLT3, IRAK1, others	Other
APOBEC	252	0.980009919789769	1.00259497320622	0.818055701644048	1.22876312490486	0.10276473005298	0.994324736052558	WZ3105	SRC, ROCK2, NTRK2, FLT3, IRAK1, others	Other
NpCpG	252	0.61764648457145	0.945604568494692	0.758711634309988	1.17853471532862	0.135953367454361	0.817583674136508	WZ3105	SRC, ROCK2, NTRK2, FLT3, IRAK1, others	Other
MMR	252	0.139269940101799	0.88880327480729	0.7600705198033	1.03933943065257	0.130854596942425	0.244870224354811	WZ3105	SRC, ROCK2, NTRK2, FLT3, IRAK1, others	Other
EPP2	252	0.0208369355275294	0.803615437858746	0.667747283201924	0.967129014540097	0.131415997161009	0.97011631765142	WZ3105	SRC, ROCK2, NTRK2, FLT3, IRAK1, others	Other
EPP1	253	0.63708571922641	1.03657630512334	0.891235224324932	1.20561935504405	-0.0285233909058848	0.960844878393259	XMD14-99	ALK, CDK7, LTK, others	Other, kinases
Tobacco	253	0.18709823996132	0.95005001626863	0.880288684200636	1.02533981137295	0.0086538307701175	0.575686892188676	XMD14-99	ALK, CDK7, LTK, others	Other, kinases
APOBEC	253	0.432054989652665	0.962465984192641	0.87461927801836	1.05913600810027	-0.00667845665552624	0.966239807409131	XMD14-99	ALK, CDK7, LTK, others	Other, kinases
NpCpG	253	0.00339930488580012	0.859383687648999	0.776798806758565	0.950748528668551	0.0323502572134043	0.077698397389717	XMD14-99	ALK, CDK7, LTK, others	Other, kinases
MMR	253	0.000154081901206598	0.875009736711519	0.817004201352818	0.93713353991594	0.0616968958782537	0.00838980949137539	XMD14-99	ALK, CDK7, LTK, others	Other, kinases
EPP2	253	0.240645507344218	0.950595841040162	0.873312300375138	1.03471856816249	0.0254781430663199	0.97011631765142	XMD14-99	ALK, CDK7, LTK, others	Other, kinases
EPP1	254	0.349485272871665	0.938029203775162	0.819271369552456	1.07400163100503	0.0815802602826221	0.892478477802024	Quizartinib	FLT3	RTK signaling
Tobacco	254	0.722838727897943	0.986491482612967	0.914847566355537	1.06374600650108	0.0266055510855423	0.900032657304832	Quizartinib	FLT3	RTK signaling
APOBEC	254	0.585249055012145	0.973331425672782	0.883011879029144	1.07288937635112	0.0237464059458194	0.978801314786528	Quizartinib	FLT3	RTK signaling
NpCpG	254	0.538971648474453	0.968400061638608	0.873874811784888	1.07314991430661	0.0316643311180315	0.753148155073472	Quizartinib	FLT3	RTK signaling
MMR	254	0.00730101207163875	0.906014975828531	0.843142837597498	0.973575413111011	0.0446195090609932	0.0376826429503935	Quizartinib	FLT3	RTK signaling
EPP2	254	0.217165056994851	0.947304630024479	0.869126361615133	1.03251506535617	0.0305124077068532	0.97011631765142	Quizartinib	FLT3	RTK signaling
EPP1	255	0.216584337532402	0.893871220174106	0.747108063935668	1.06946477601444	0.126150085971361	0.830407215421263	CP724714	ERBB2	RTK signaling
Tobacco	255	0.430543196680754	0.959043329955436	0.864084912534529	1.0644371813346	0.0476420297316149	0.773778592017932	CP724714	ERBB2	RTK signaling
APOBEC	255	0.707756204193245	0.972694729604478	0.841212581718327	1.12472763432482	0.0511649322603346	0.994324736052558	CP724714	ERBB2	RTK signaling
